allocation_id,transaction_id,fund_id,fund_name_raw,amount
286449680:1,286449680,fund_003,General Fund,350.0
286450000:1,286450000,fund_003,General Fund,500.0
286450205:1,286450205,fund_003,General Fund,55.0
286450455:1,286450455,fund_003,General Fund,50.0
286450630:1,286450630,fund_003,General Fund,100.0
286450783:1,286450783,fund_003,General Fund,150.0
286450989:1,286450989,fund_003,General Fund,8400.0
286451230:1,286451230,fund_003,General Fund,500.0
286451420:1,286451420,fund_003,General Fund,250.0
286451704:1,286451704,fund_003,General Fund,60.0
286452010:1,286452010,fund_006,Missions | Colombia,1000.0
286452208:1,286452208,fund_003,General Fund,100.0
286452468:1,286452468,fund_003,General Fund,100.0
286452661:1,286452661,fund_003,General Fund,350.0
286452890:1,286452890,fund_003,General Fund,100.0
286453509:1,286453509,fund_003,General Fund,100.0
286453757:1,286453757,fund_003,General Fund,450.0
286455404:1,286455404,fund_003,General Fund,20.0
286455526:1,286455526,fund_003,General Fund,30.0
286455680:1,286455680,fund_003,General Fund,15.0
286455799:1,286455799,fund_003,General Fund,25.0
286458232:1,286458232,fund_003,General Fund,634.0
286573937:1,286573937,fund_003,General Fund,1000.0
286596997:1,286596997,fund_003,General Fund,75.0
286613503:1,286613503,fund_003,General Fund,409.1
286622636:1,286622636,fund_005,Missions (General),36.08
286709982:1,286709982,fund_003,General Fund,41.19
