allocation_id,transaction_id,fund_id,fund_name_raw,amount
294538955:1,294538955,fund_003,General Fund,50.0
294539154:1,294539154,fund_003,General Fund,1100.0
294539357:1,294539357,fund_003,General Fund,1105.0
294539519:1,294539519,fund_003,General Fund,100.0
294539690:1,294539690,fund_003,General Fund,93.0
294539944:1,294539944,fund_003,General Fund,100.0
294540140:1,294540140,fund_003,General Fund,170.0
294540325:1,294540325,fund_003,General Fund,50.0
294540466:1,294540466,fund_003,General Fund,100.0
294540625:1,294540625,fund_003,General Fund,150.0
294540784:1,294540784,fund_003,General Fund,200.0
294540965:1,294540965,fund_003,General Fund,310.0
294541104:1,294541104,fund_003,General Fund,100.0
294541255:1,294541255,fund_003,General Fund,350.0
294541438:1,294541438,fund_003,General Fund,100.0
294541646:1,294541646,fund_003,General Fund,25.0
294541867:1,294541867,fund_003,General Fund,100.0
294542004:1,294542004,fund_003,General Fund,1000.0
294542143:1,294542143,fund_003,General Fund,100.0
294544188:1,294544188,fund_003,General Fund,5000.0
294544422:1,294544422,fund_003,General Fund,20.0
294544534:1,294544534,fund_003,General Fund,25.0
294544685:1,294544685,fund_003,General Fund,15.0
294544841:1,294544841,fund_003,General Fund,40.0
294545868:1,294545868,fund_003,General Fund,554.0
294597193:1,294597193,fund_003,General Fund,25.86
294723171:1,294723171,fund_006,Missions | Colombia,1750.0
294730750:1,294730750,fund_003,General Fund,270.0
294846004:1,294846004,fund_003,General Fund,300.0
295078024:1,295078024,fund_003,General Fund,51.41
295078694:1,295078694,fund_003,General Fund,250.0
295079364:1,295079364,fund_003,General Fund,102.5
295080030:1,295080030,fund_003,General Fund,51.41
295080294:1,295080294,fund_003,General Fund,100.3
295083750:1,295083750,fund_003,General Fund,0.5
295087193:1,295087193,fund_003,General Fund,102.5
295094277:1,295094277,fund_003,General Fund,200.0
295096698:1,295096698,fund_003,General Fund,51.41
295102383:1,295102383,fund_003,General Fund,200.0
295140965:1,295140965,fund_003,General Fund,821.13
295186399:1,295186399,fund_006,Missions | Colombia,102.5
295198225:1,295198225,fund_003,General Fund,325.0
295237178:1,295237178,fund_007,Missions | Kensington,100.0
295237178:2,295237178,fund_003,General Fund,200.0
295237414:1,295237414,fund_003,General Fund,150.3
295237482:1,295237482,fund_003,General Fund,107.61
295247530:1,295247530,fund_003,General Fund,100.0
295319174:1,295319174,fund_003,General Fund,306.9
295401451:1,295401451,fund_003,General Fund,250.0
295417638:1,295417638,fund_003,General Fund,335.3
295450256:1,295450256,fund_003,General Fund,400.0
295500132:1,295500132,fund_003,General Fund,25.0
295502277:1,295502277,fund_006,Missions | Colombia,511.29
295567681:1,295567681,fund_003,General Fund,20.3
295605246:1,295605246,fund_003,General Fund,30.97
295635146:1,295635146,fund_003,General Fund,50.0
295635189:1,295635189,fund_003,General Fund,50.0
295635321:1,295635321,fund_003,General Fund,25.86
295636396:1,295636396,fund_003,General Fund,175.0
295636554:1,295636554,fund_003,General Fund,102.5
295636643:1,295636643,fund_003,General Fund,60.99
295639162:1,295639162,fund_003,General Fund,700.3
295644317:1,295644317,fund_003,General Fund,25.0
295646284:1,295646284,fund_003,General Fund,50.0
295646691:1,295646691,fund_003,General Fund,25.0
295648118:1,295648118,fund_003,General Fund,82.06
295652229:1,295652229,fund_003,General Fund,25.86
295655318:1,295655318,fund_003,General Fund,25.0
295658309:1,295658309,fund_005,Missions (General),30.81
295658309:2,295658309,fund_003,General Fund,30.81
295661608:1,295661608,fund_003,General Fund,100.3
295669304:1,295669304,fund_003,General Fund,40.0
295709441:1,295709441,fund_003,General Fund,1100.0
295711474:1,295711474,fund_003,General Fund,100.3
295875246:1,295875246,fund_003,General Fund,33.3
295875537:1,295875537,fund_003,General Fund,80.0
295881016:1,295881016,fund_006,Missions | Colombia,20.0
295914152:1,295914152,fund_003,General Fund,570.0
295914445:1,295914445,fund_003,General Fund,246.0
295914881:1,295914881,fund_006,Missions | Colombia,400.0
295915096:1,295915096,fund_003,General Fund,500.0
295915392:1,295915392,fund_003,General Fund,75.0
295915639:1,295915639,fund_003,General Fund,900.0
295915852:1,295915852,fund_003,General Fund,500.0
295916145:1,295916145,fund_002,Building Fund,200.0
295916355:1,295916355,fund_003,General Fund,25.0
295916581:1,295916581,fund_003,General Fund,50.0
295916771:1,295916771,fund_003,General Fund,50.0
295917063:1,295917063,fund_003,General Fund,120.0
295917410:1,295917410,fund_003,General Fund,1000.0
295917621:1,295917621,fund_003,General Fund,100.0
295917885:1,295917885,fund_003,General Fund,385.0
295919188:1,295919188,fund_003,General Fund,55.0
295919947:1,295919947,fund_003,General Fund,100.0
295920137:1,295920137,fund_003,General Fund,50.0
295920346:1,295920346,fund_003,General Fund,50.0
295920675:1,295920675,fund_006,Missions | Colombia,50.0
295920889:1,295920889,fund_003,General Fund,305.0
295921125:1,295921125,fund_003,General Fund,300.0
295921388:1,295921388,fund_003,General Fund,100.0
295921593:1,295921593,fund_003,General Fund,25.0
295922046:1,295922046,fund_006,Missions | Colombia,1500.0
295922293:1,295922293,fund_003,General Fund,833.33
295923249:1,295923249,fund_003,General Fund,889.21
295925828:1,295925828,fund_003,General Fund,400.0
295926098:1,295926098,fund_003,General Fund,50.0
295926726:1,295926726,fund_003,General Fund,400.0
295926992:1,295926992,fund_003,General Fund,500.0
295927268:1,295927268,fund_003,General Fund,604.0
295927465:1,295927465,fund_003,General Fund,100.0
295927686:1,295927686,fund_003,General Fund,150.0
295927926:1,295927926,fund_003,General Fund,825.0
295928162:1,295928162,fund_003,General Fund,150.0
295928426:1,295928426,fund_003,General Fund,500.0
295928694:1,295928694,fund_006,Missions | Colombia,500.0
295928899:1,295928899,fund_003,General Fund,250.0
295929135:1,295929135,fund_003,General Fund,155.0
295929402:1,295929402,fund_006,Missions | Colombia,150.0
295929670:1,295929670,fund_003,General Fund,65.0
295929856:1,295929856,fund_003,General Fund,100.0
295930062:1,295930062,fund_003,General Fund,350.0
295930262:1,295930262,fund_003,General Fund,100.0
295930554:1,295930554,fund_003,General Fund,200.0
295934250:1,295934250,fund_003,General Fund,20.0
295934428:1,295934428,fund_003,General Fund,15.0
295934630:1,295934630,fund_003,General Fund,25.0
295934860:1,295934860,fund_003,General Fund,445.0
296036796:1,296036796,fund_005,Missions (General),25.86
296074450:1,296074450,fund_003,General Fund,300.0
296194568:1,296194568,fund_003,General Fund,51.3
296274023:1,296274023,fund_003,General Fund,500.0
296290671:1,296290671,fund_003,General Fund,420.0
296339363:1,296339363,fund_002,Building Fund,6827.24
296371440:1,296371440,fund_003,General Fund,50.3
296441650:1,296441650,fund_003,General Fund,270.3
296490620:1,296490620,fund_003,General Fund,150.3
296537196:1,296537196,fund_003,General Fund,500.0
296552705:1,296552705,fund_003,General Fund,10.0
296619578:1,296619578,fund_003,General Fund,51.41
296639284:1,296639284,fund_003,General Fund,10.0
296664338:1,296664338,fund_003,General Fund,15.64
296668151:1,296668151,fund_003,General Fund,61.62
296668156:1,296668156,fund_003,General Fund,15.64
